County,Market Name,Location,Address Line 1,City,State,Zip,Contact,Phone,Market Link,Operation Hours,Operation Season,FMNP,Latitude,Longitude,Location Points
Albany,Glenmont/ Mt Moriah Church Farmer's Market,"Mt. Moriah Church, across from Lowes262 Route 9W, Glenmont",262 Rt. 9W,Glenmont,NY,12077,Lisa West,5185262734,,Thursday  3pm-6pm,June 6 - August 29,Y,42.61076,-73.7864,"262 Rt. 9W
(42.61076, -73.7864)"
Albany,Harriman State Campus Farmers' Market,"Harriman State Office CampusVendor Park, Albany",1220 Washington Ave,Albany,NY,12203,Jason Rumph,5184732982,http://www.empirestateplaza.org,Thursday  10am-2pm,May 2 - October 17,Y,42.68035,-73.81041,"1220 Washington Ave
(42.68035, -73.81041)"
Albany,Hilltown Community Farmers' Market,"1652 Helderberg Trail, Berne Masonic Lodge, Berne",1652 Helderberg Trail,Berne,NY,12023,Amy Pokorny,5188721879,http://www.hilltowncommunitymarket.org,Saturday  9am-12 Noon,June 1 - October 12,Y,42.62506,-74.13506,"1652 Helderberg Trail
(42.62506, -74.13506)"
Albany,Voorheesville Farmers' Market,"First United Methodist lot,68 Maple Ave.",68 Maple Ave,Voorheesville,NY,12186,Dianne Luci,5187654536,,Wed  3:30pm-6:30pm,June - October,Y,42.64892,-73.92991,"68 Maple Ave
(42.64892, -73.92991)"
Allegany,Alfred Farmers' Market,"Village Band Stand, Main St.(Winter - McLane Gym, Main St.)",Main Street and Saxon Drive,Alfred,NY,14802,Chris Romanchock,6075879478,http://www.alfredfarmersmarket.com,Sunday  11am-3pm,July 21 - November 17,Y,42.25396,-77.7904,"Main Street and Saxon Drive
(42.25396, -77.7904)"
Allegany,Angelica Farmers' Market,Angelica Park Circle,28 Park Cir,Angelica,NY,14709,Bob Jones,5854667422,,Saturday  9am-1pm,June 15 - October 5,Y,42.30553,-78.01631,"28 Park Cir
(42.30553, -78.01631)"
Allegany,Belmont Farmers' Market,"Grange Hall Lawn, 32 Willets Ave, Rt 219",32 Willets Ave,Belmont,NY,14813,Phyllis Couture,7169423710,,Thursday  11am-5pm,May 23 - October 31,Y,42.22604,-78.03977,"32 Willets Ave
(42.22604, -78.03977)"
Allegany,Harvest Partners Bolivar Farmers' Market,Bolivar Fire Hall,Bolivar Fire Hall,Bolivar,NY,14715,Halle Reed,5856100565,,Monday  10am-2pm,June 10 - September 30,Y,42.06395,-78.16803,"Bolivar Fire Hall
(42.06395, -78.16803)"
Allegany,Harvest Partners Cuba Farmers' Market,"Cuba Fire Hall,51 E. Main St.",51 E Main St,Cuba,NY,14727,Halle Reed,5856100565,,Thursday  10am-1pm,June 27 - October 3,Y,42.21829,-78.27295,"51 E Main St
(42.21829, -78.27295)"
Allegany,Harvest Partners Fillmore Farmers' Market,"Fillmore Fire Hall,20 South Genesee St.",20 South Genesee St,Fillmore,NY,14735,Halle Reed,5856100565,,Thursday  10am-1pm,June 27 - September 19,Y,42.46485,-78.11229,"20 South Genesee St
(42.46485, -78.11229)"
Allegany,Wellsville Farmers' Market,"Jones Memorial Hospital,N. Main St.",191 North Main St,Wellsville,NY,14895,Halle Reed,5856100565,,Thursday  12 Noon-6pm,May 23 - October 3,Y,42.12242,-77.95056,"191 North Main St
(42.12242, -77.95056)"
Bronx,Bissel Gardens Farmers' Market,"Baychester Ave. & E. 241 St.,Bronx",Baychester Ave and East 241st St,Bronx,NY,10470,Heather Warren-Dombrowa,3474272547,http://www.justfood.org,Wed/Sat  9am-5pmSaturday  9am-5pm,July 10 - November 23,Y,40.90154,-73.8469,"Baychester Ave and East 241st St
(40.90154, -73.8469)"
Bronx,Bronx Borough Hall Greenmarket,Grand Concourse161st & 162nd St.,901 Grand Concourse,Bronx,NY,10452,Chelsea Whittaker,2127887476,http://www.grownyc.org,Tuesday  8am - 4pm,June 4 - November 26,Y,40.82715,-73.92278,"901 Grand Concourse
(40.82715, -73.92278)"
Bronx,Harvest Home Bronx Terminal Farmers' Market,"Bronx Terminal Mall,Between E. 150th and E. 151st Sts., and River Ave.",151st Street and River Avenue,Bronx,NY,10456,Maritza Owens,2128283361,http://www.harvesthomefm.org,Saturday  10am-5pm,July 6 - November 16,Y,40.82284,-73.92875,"151st Street and River Avenue
(40.82284, -73.92875)"
Bronx,Harvest Home Co-op City Farmers' Market,"Parking Lot 3, W side Co-op City Blvd.N side of Bellamy Loop",Co-Op City Blvd and Bellamy Loop,Bronx,NY,10475,Maritza Owens,2128283361,http://www.harvesthomefm.org,Saturday  8am-4pm,July 6 - November 16,Y,40.87225,-73.8244,"Co-Op City Blvd and Bellamy Loop
(40.87225, -73.8244)"
Bronx,Harvest Home Echo Park Farmers' Market,Ryer St. and Burnside Ave.,East Burnside Ave and Ryer Ave,Bronx,NY,10457,Maritza Owens,2128283361,http://www.harvesthomefm.org,Wednesday  8am-4pm,July 10 - November 20,Y,40.85085,-73.90148,"East Burnside Ave and Ryer Ave
(40.85085, -73.90148)"
Bronx,Harvest Home Forest Ave. Farmers' Market,"Forest Ave., btwn Westchester Ave. &  E. 156th St.",East 156st St and Forest Ave,Bronx,NY,10455,Maritza Owens,2128283361,http://www.harvesthomefm.org,Wednesday  8am-4pm,July 10 - November 20,Y,40.81815,-73.90624,"East 156st St and Forest Ave
(40.81815, -73.90624)"
Bronx,Harvest Home Jacobi  Hospital Farmers' Market,"1400 Pelham Parkway,at Eastchester Rd.",1400 Pelham Pkwy,Bronx,NY,10461,Maritza Owens,2128283361,http://www.harvesthomefm.org,Tuesday  8am-4pm,June 11 - November 19,Y,40.85407,-73.8469,"1400 Pelham Pkwy
(40.85407, -73.8469)"
Bronx,Harvest Home Jerome Ave. Farmers' Market,"Plaza Drive, btwn 170th St. & Elliot Place",Jerome Ave and East 170th St,Bronx,NY,10452,Maritza Owens,2128283361,http://www.harvesthomefm.org,Friday  8am-4pm,July 5 - November 15,Y,40.84024,-73.91763,"Jerome Ave and East 170th St
(40.84024, -73.91763)"
Bronx,Harvest Home Mt. Eden Farmers' Market,"Mt. Eden & Morris Aves., near Bronx-Lebanon Hospital",Mt Eden Pkwy and Morris Ave,Bronx,NY,10457,Maritza Owens,2128283361,http://www.harvesthomefm.org,Thursday  8am-4pm,May 16 - November 14,Y,40.84306,-73.90955,"Mt Eden Pkwy and Morris Ave
(40.84306, -73.90955)"
Bronx,Harvest Home North Central Bronx Farmers' Market,Mosholu Parkway North & Jerome Ave.,Jerome Ave and East Mosholu Pkwy North,Bronx,NY,10467,Maritza Owens,2128283361,http://www.harvesthomefm.org,Wednesday  8am-4pm,July 10 - November 20,Y,40.88038,-73.88378,"Jerome Ave and East Mosholu Pkwy North
(40.88038, -73.88378)"
Bronx,Harvest Home Sunday Farmers' Market,"Grand Concourse & E. 165th St.,  at Bronx Museum of the Arts",Grand Concourse and East 165st St,Bronx,NY,10456,Maritza Owens,2128283361,http://www.harvesthomefm.org,Sunday  8am-4pm,July 7 - November  17,Y,40.83086,-73.92033,"Grand Concourse and East 165st St
(40.83086, -73.92033)"
Bronx,Hunts Point Farmers' Market,"Monsignor Raul del Valle Sq.(subway#6)Southern Blvd., E. 163rd & Bruckner",Southern Blvd and East 163rd St,Bronx,NY,10459,Doug Ornstein,9149234837,http://www.downtoearthmarkets.com,Wed/Sat  8:30am-4pm,June 26 - November 23,Y,40.82099,-73.89167,"Southern Blvd and East 163rd St
(40.82099, -73.89167)"
Bronx,Kingsbridge Heights Farmers Market,"Kingsbridge Heights Comm. Ctr,3101 Kingsbridge Terrace, Bronx",3101 Kingsbridge Terrace,Bronx,NY,10463,Sadie Mahoney,7188840700,http://www.khcc-nyc.org,Friday  11am-7pm,July 5 - September 6,Y,40.87758,-73.90072,"3101 Kingsbridge Terrace
(40.87758, -73.90072)"
Bronx,La Familia Verde Farmers' Market,"Tremont Park, on Tremont Ave.;btwn LaFontaine & Arthur Aves.",East Tremont Ave and Arthur Ave,Bronx,NY,10457,Heidi Hynes,7185831765,http://www.lafamiliaverde.org,Tuesday  8am-2pm,July 9 - November 12,Y,40.8464,-73.89337,"East Tremont Ave and Arthur Ave
(40.8464, -73.89337)"
Bronx,"Learn it, Grow it, Eat it Youthmarket",169th St. and Boston Rd.McKinley Square (Parks),Boston Rd and East 169th St,Bronx,NY,10456,Ryan Morningstar,5089442083,,Wed  10am-2:30pm,July 10 - November 20,Y,40.83117,-73.90032,"Boston Rd and East 169th St
(40.83117, -73.90032)"
Bronx,Lincoln Hospital Greenmarket,149th St. btw Park & Morris Aves.,East 149th St and Morris Ave,Bronx,NY,10451,Chelsea Whittaker,2127887476,http://www.grownyc.org,Tue/Fri  8am - 3pm,June 28 - November 22,Y,40.81739,-73.92276,"East 149th St and Morris Ave
(40.81739, -73.92276)"
Bronx,Marble Hill Youthmarket,"225th St., btw Broadway & Exteriorbtwn Marshalls & Applebees",Broadway and West 225th St,Bronx,NY,10463,Ryan Morningstar,5089442083,,Thursday  2pm-6pm,July 11 - November 21,Y,40.87424,-73.91036,"Broadway and West 225th St
(40.87424, -73.91036)"
Bronx,Mott Haven Farmers' Market,"Padre Plaza Success Community Garden,E. 139th St. & 283 St. Ann's Ave.",283 Saint Anns Ave,Bronx,NY,10454,Sheila Young,7189241143,,Wednesday  10am-4pm,June 26 - November 13,Y,40.80789,-73.91709,"283 Saint Anns Ave
(40.80789, -73.91709)"
Bronx,New York Botanical Garden Greenmarket,Mosholu Gate on Southern Blvd btwMosholu Pkwy and Bedford Park Blvd,Dr Theodore Kazimiroff Blvd and Mosholu Pkwy,Bronx,NY,10458,Chelsea Whittaker,2127887476,http://www.grownyc.org,Wednesday  9am-3pm,June 19 - November 27,Y,40.86771,-73.8796,"Dr Theodore Kazimiroff Blvd and Mosholu Pkwy
(40.86771, -73.8796)"
Bronx,Northeast Bronx Farmers' Market,"Haffen Park, Hammersley & Wickham Aves.",Hammersley Ave and Wickham Ave,Bronx,NY,10469,Nate Dukes,7188629687,,Saturday  8am-5pm,July 6 - November 16,Y,40.87268,-73.83912,"Hammersley Ave and Wickham Ave
(40.87268, -73.83912)"
Bronx,Parkchester/ Virginia Park Greenmarket,Westchester Ave. & White Plains Rd.,Westchester Ave and White Plains Rd,Bronx,NY,10472,Chelsea Whittaker,2127887476,http://www.grownyc.org,Friday  8am - 4pm,June 14 - November 22,Y,40.83283,-73.8627,"Westchester Ave and White Plains Rd
(40.83283, -73.8627)"
Bronx,Poe Park Greenmarket,btw Grand Concourse & Valentine192 Street,Grand Concourse and East 192nd St,Bronx,NY,10458,Chelsea Whittaker,2127887476,http://www.grownyc.org,Tuesday  8am - 3pm,July 2 - November 19,Y,40.86417,-73.8956,"Grand Concourse and East 192nd St
(40.86417, -73.8956)"
Bronx,Project EATS Hegney Place Farmers' Market,"Rae Street,Bronx",Rae Street,Bronx,NY,10455,Michelle Hodges,2126121528,http://www.projecteats.org,Saturday  8am-12 Noon,June 8 - November 23,Y,40.81752,-73.91232,"Rae Street
(40.81752, -73.91232)"
Bronx,Riverdale Neighborhood House Youthmarket,"W. 256th St. & Mosholu, RiverdaleNeighborhood House Property",5521 West 226th St,Bronx,NY,10466,Ryan Morningstar,5089442083,,Thursday  3pm-7pm,July 11 - November 21,Y,40.90388,-73.90313,"5521 West 226th St
(40.90388, -73.90313)"
Bronx,Riverdale Y Sunday Farmers' Market,"Independence Ave,W. 237th St., BronxMiddle School 141",Independence Ave and W 237 Street,Bronx,NY,10463,Marti Michael,7185488200,http://www.riverdaley.org,Sunday  9am-2pm,May 5 - November 24,Y,40.88836,-73.91311,"Independence Ave and W 237 Street
(40.88836, -73.91311)"
Bronx,Roberto Clemente Plaza Youthmarket,"Pedestrian Plaza on 3rd Ave.Btwn 149th & 148th, Bronx",3rd Ave and 148th Street,Bronx,NY,10455,Ryan Morningstar,5089442083,,Wednesday  9am-3pm,July 10 - November 20,Y,40.81553,-73.91858,"3rd Ave and 148th Street
(40.81553, -73.91858)"
Bronx,Taqwa Community Farmers' Market,"90 W. 164th St. & Ogden Ave. In garden, Bronx",90 West 164th St,Bronx,NY,10452,Bobby Watson,7188727282,http://www.justfood.org/cityfarms/markets,Saturday  8am-4pm,June 29 - November 16,Y,40.83251,-73.92886,"90 West 164th St
(40.83251, -73.92886)"
Bronx,The Heights Community Farmers' Market,"University Ave. and W. 181 Street,The Bronx",University Ave and W 181st Street,Bronx,NY,10453,Rob Moore,7185083194,http://www.bronxworks.org,Thursday  9am-3pm,July 11 - October 31,Y,40.8572,-73.90974,"University Ave and W 181st Street
(40.8572, -73.90974)"
Bronx,Wholesale Greenmarket,"800 Food Center Drive,Hunts Point, Bronx",800 Food Center Dr,Bronx,NY,10474,Chelsea Whittaker,2127887476,http://www.grownyc.org,Mon-Sat  2am-8am,July - November,Y,40.80234,-73.87367,"800 Food Center Dr
(40.80234, -73.87367)"
Broome,Binghamton/Otsiningo Park Farmers' Market,"Otsiningo Park, Upper Front St., Binghamton, NY 13905","Bevier St and Otsiningo Park,",Binghamton,NY,13905,Peter D. Reynolds,6078623599,,Saturday  9am-1pm,May 4 - November 23,Y,42.11984,-75.90493,"Bevier St and Otsiningo Park,
(42.11984, -75.90493)"
Broome,Downtown Binghamton Farmers' Market,"Court House Square, Collier St.",Collier St and Court St,Binghamton,NY,13901,Eric Denk,6072069471,http://www.binghamtonfarmersmarket.com,Tue/Fri  9am-2pm,June 7 - October 29,Y,42.09867,-75.91159,"Collier St and Court St
(42.09867, -75.91159)"
Broome,Koo Koose Farmers' Market,"Park on Front Street, near flag polenear Village Hall & Movie Theater",147 NYS Bicycle Route 17,Deposit,NY,13754,Dorothy Crantz,6074672956,,Saturday  9am-12:30pm,June 22 - September 7,Y,42.06078,-75.42563,"147 NYS Bicycle Route 17
(42.06078, -75.42563)"
Broome,Vestal Farmers' Market,"Library parking lot, near museum320 Vestal Pkwy E (Rt. 434)",320 Vestal Pkwy,Vestal,NY,13850,Karyn Anne Petracca,6077980041,,Sat/Wed  9am-1pm,May 25 - November 20,Y,42.08533,-76.05903,"320 Vestal Pkwy
(42.08533, -76.05903)"
Cattaraugus,Franklinville Farmers' Market,13 Park Square (Route 16),13 Park Sq,Franklinville,NY,14737,Phyllis Couture,7169423710,,Wednesday  3pm-6pm,May 29 - October 30,Y,42.33718,-78.45726,"13 Park Sq
(42.33718, -78.45726)"
Cattaraugus,Olean Southern Tier Farmers' Market,"Tractor Supply Store,1900 Constitution Ave., Olean",1900 Constitution Ave,Olean,NY,14760,Phyllis Couture,7169423710,,Friday  2pm-7pm,May 17 - October 25,Y,42.08294,-78.45503,"1900 Constitution Ave
(42.08294, -78.45503)"
Cattaraugus,R.E.A.P. Ellicotville Farmers' Market,"United Church of Ellicotville,53 Elizabeth St.",53 Elizabeth Street,Ellicottville,NY,14731,Mark Schindlbeck,7166769180,http://www.reapfarmersmarket.com,Friday  2pm-6pm,June 21 - October 4,Y,42.27628,-78.67365,"53 Elizabeth Street
(42.27628, -78.67365)"
Cattaraugus,R.E.A.P. Olean Farmers' Market,"Jamestown Community College,Olean Campus parking lot, Union St.",Union St and Sullivan St,Olean,NY,14760,Mark Schindlbeck,7166769180,http://www.reapfarmersmarket.com,Saturday  8am-2pm,May 11 - October 26,Y,42.08149,-78.4299,"Union St and Sullivan St
(42.08149, -78.4299)"
Cattaraugus,Salamanca Farmers' Market,"12 Park Ave.,Jefferson Park",12 Park Ave,Salamanca,NY,14779,Phyllis Couture,7169423710,,Tuesday  11am-5pm,May 21 - October 29,Y,42.15496,-78.71739,"12 Park Ave
(42.15496, -78.71739)"
Cayuga,Auburn Farmers' Market,96 State StreetCurley's Restaurant Pkg Lot,96 State Street,Auburn,NY,13021,Mark Soper,3152556871,http://www.auburnfarmerscoopmarketinc.com,Tue/Thu/Sat  7am-2pm,June 1 - October 31,Y,42.93403,-76.57004,"96 State Street
(42.93403, -76.57004)"
Cayuga,Moravia Farmers' Market,"Kinney's Drug parking lot, 130 Main St.",130 Main St,Moravia,NY,13118,Barbara Flynn,3154962235,,Thursday  10am-5pm,June 6 - October 31,Y,42.71209,-76.42079,"130 Main St
(42.71209, -76.42079)"
Cayuga,Niles Farmers' Market,"Niles Town Hall,5923 New Hope Rd., Moravia",5923 New Hope Rd.,Moravia,NY,13118,John DeWitt,3154970142,,Saturday  10am-1pm,May 25 - October 26,Y,42.79746,-76.36609,"5923 New Hope Rd.
(42.79746, -76.36609)"
Cayuga,Union Springs Farmers' Market,"Cayuga St., at the GazeboState Route 90",Chapel Street and Route 90,Union Springs,NY,13160,Casi Head,3157302711,,Saturday  8:30am-12:30pm,May 25 - October 19,Y,42.84224,-76.69195,"Chapel Street and Route 90
(42.84224, -76.69195)"
Chautauqua,Downtown Jamestown Farmers' Market,"Foundry Alley btwn 2nd & 3rd Sts.,Renaissance Center",119 West 3rd St,Jamestown,NY,14701,Tiffany Conti,7166642477,http://www.jrconline.org,Friday  10am-3pm,June 7 - October 25,Y,42.09605,-79.24317,"119 West 3rd St
(42.09605, -79.24317)"
Chautauqua,Falconer Farmers' Market,"Davis Park,corner W. Main & Homestead Sts.",W Main St and Homestead St,Falconer,NY,14733,DeEtte Dispenza,7166654400,,Saturday  9am-2pm,June 1 - October 26,Y,42.11763,-79.19952,"W Main St and Homestead St
(42.11763, -79.19952)"
Chautauqua,Fredonia Farmers' Market,"9-11 Church St., Village Hall in Baker Commons",11 Church St,Fredonia,NY,14063,Mary Jane Starks,7166802844,,Saturday  8am-1pm,May - October,Y,42.44054,-79.33234,"11 Church St
(42.44054, -79.33234)"
Chautauqua,Lakewood Farmers' Market,Chautauqua Ave.,Chautauqua Ave and West Second St,Lakewood,NY,14750,Joe Johnson,7167638557,http://www.lakewoodny.com,Tuesday  2pm-6pm,June 4 - September 24,Y,42.10184,-79.32623,"Chautauqua Ave and West Second St
(42.10184, -79.32623)"
Chautauqua,Westfield Farmers' Market,"Moore Park, corner of Main & Portage",Main St and Portage St,Westfield,NY,14787,Arianne Correll,7166401166,http://www.westfieldny.com/farmersmarket,Saturday  9am-2pm,May 25 - October 26,Y,42.32195,-79.57808,"Main St and Portage St
(42.32195, -79.57808)"
Chemung,Elmira Eastside Farmers' Market,"West Lawn of Holiday Inn,760 E. Water St.",760 East Water St,Elmira,NY,14901,Anne Hughes,6077344453,http://counties.cce.cornell.edu/chemung,Friday  3pm-6pm,June 28 - October 18,Y,42.08905,-76.7922,"760 East Water St
(42.08905, -76.7922)"
Chemung,Elmira Grove Park Farmers' Market,"4th St. & Walnut Ave.,Grove Park, Elmira",Walnut Ave and West 4th St,Elmira,NY,14901,Liz Martin,6075464535,,Monday  3pm - 6pm,June 3 - October 28,Y,42.0921,-76.82013,"Walnut Ave and West 4th St
(42.0921, -76.82013)"
Chemung,Elmira Wisner Park Farmers' Market,"Wisner Park, Church & Main Sts.",North Main St and West Church St,Elmira,NY,14901,Jennifer Herrick,6077340341,http://www.elmiradowntown.com,Thursday  10am-2pm,June 6 - September 26,Y,42.08984,-76.80826,"North Main St and West Church St
(42.08984, -76.80826)"
Chemung,Horseheads/Teal Park Farmers' Market,"Teal Park, HorseheadsCorner S. Main and Steuben Sts.",502 South Main St,Horseheads,NY,14845,Debbie Gessick,6077397698,,Saturday  10am-2pm,June 22 - September,Y,42.16431,-76.81942,"502 South Main St
(42.16431, -76.81942)"
Chenango,Chenango County Farmers' Market,"East Side Park,Norwich",East Main St and East Park Pl,Norwich,NY,13815,Kenneth Walbrecht,6073348310,,Wed/Sat  8am-1pm,June 8 - October 30,Y,42.53132,-75.5226,"East Main St and East Park Pl
(42.53132, -75.5226)"
Chenango,Coventry Farmers' Market,"Coventry Fire Station,North Rd.",North Rd and Volunteer Ln,Coventry,NY,13778,Ellen Evans,6076567319,,Sunday  12 Noon - 6pm    Tuesday  3pm - 6:30pm,June - November,Y,42.31667,-75.63847,"North Rd and Volunteer Ln
(42.31667, -75.63847)"
Chenango,Norwich Farmers' Market,East Park Place,98 East Park Place,Norwich,NY,13815,Drew Piaschyk,6073344928,,Wed 10am-6pmFriday 1pm - 6pm,November 1 - May 31,Y,42.53136,-75.52262,"98 East Park Place
(42.53136, -75.52262)"
Clinton,Chateaugay Lake Farmers' Market,"Hollywood Inn, Rt 374, lake narrows, west of Merrill",4939 State Route 374,Merrill,NY,12955,Vicki Lesniak,5187721064,http://www.adirondackfarmersmarket.com,Saturday  10am-2pm,June 22 - August 31,Y,44.78076,-73.98243,"4939 State Route 374
(44.78076, -73.98243)"
Clinton,Keeseville Farmers Market,"Riverside Park,behind Library on Front St.",1721 Front St,Keeseville,NY,12944,Vicki Lesniak,5187721064,http://www.adirondackfarmersmarket.com,Wednesday  9am-1pm,June 19 - August 28,Y,44.50436,-73.48061,"1721 Front St
(44.50436, -73.48061)"
Clinton,Plattsburgh Farmers' & Crafters Market,City parking lotDurkee & Broad Sts.,Broad St and Durkee St,Plattsburgh,NY,12901,Patricia Parker,5183100719,http://www.plattsburghfarmersandcraftersmarket.com,"Sat  9am-2pm  Start June, Wed also 10-2",May 11 - October 12,Y,44.69535,-73.45226,"Broad St and Durkee St
(44.69535, -73.45226)"
Columbia,Copake Farmers' Market,Church St.,Church St. and Pioneer Dr.,Copake,NY,12516,Roberta Roll,5183290384,,Saturday  9am-1pm,June 8 - October 26,Y,42.1034,-73.54957,"Church St. and Pioneer Dr.
(42.1034, -73.54957)"
Columbia,Hillsdale Farmers' Market,"Roeliff Jansen Park,9140 Route 22",9140 Route 22,Hillsdale,NY,12529,Willa Horton,5183257950,,Saturday  9am-1pm,June 1 - October 12,Y,42.16548,-73.51686,"9140 Route 22
(42.16548, -73.51686)"
Columbia,Hudson Farmers' Market,"DMV parking lot, North 6th & Columbia Sts.",Columbia St and North 6th St,Hudson,NY,12534,Eugene Shetsky,5188287217,http://www.cityofhudson.org,Saturday  9am-1pm,May 11 - November 23,Y,42.24866,-73.78369,"Columbia St and North 6th St
(42.24866, -73.78369)"
Columbia,Kinderhook Farmers' Market,"Village Green, Center of Village",US Route 9 and Hudson St,Kinderhook,NY,12106,Kim Voltz,5187559293,,Saturday  8:30pm-12:30pm,May 4 - October 12,Y,42.39539,-73.69819,"US Route 9 and Hudson St
(42.39539, -73.69819)"
Columbia,Lebanon Valley Farmers' Market,"On the green at Midtown Mall,501 Route 20",501 Route 20,New Lebanon,NY,12125,Lori Bashour,5182885836,,Sunday  10am-2pm,May 19 - October 13,Y,42.46658,-73.39243,"501 Route 20
(42.46658, -73.39243)"
Columbia,Philmont Farmers' Market,"116 Main St., parking lotAlbert Tripp Center",Main St and Elm St,Philmont,NY,12565,Sally Baker,5186727556,http://www.pbinc.org,Sunday  10am-1pm,June 16 - October 13,Y,42.24868,-73.65097,"Main St and Elm St
(42.24868, -73.65097)"
Cortland,Cincinnatus Farmers' Market,"Cortland-Chenango Rural Services,2704 Lower Cincinnatus Rd.",2704 Lower Cincinnatus Rd,Cincinnatus,NY,13040,Sister Kathleen Heffron,6078633828,,Saturday  9am-12 Noon,May 11 - October 26,Y,42.54094,-75.8959,"2704 Lower Cincinnatus Rd
(42.54094, -75.8959)"
Cortland,City of Cortland Farmers' Market,"Main St., btwn Court & Orchard Sts.",Main St and Orchard St,Cortland,NY,13045,Julie Maddren,6077588373,,Tue/Sat  8am-2pm,June 1 - October 29,Y,42.60028,-76.18044,"Main St and Orchard St
(42.60028, -76.18044)"
Cortland,Homer Farmers' Market,Homer Village Green,South Main St and Central Park Pl,Homer,NY,13077,Tina Minervini,6075915979,http://www.homerfarmersmarket.com,Saturday  9am-1pm Wed 4:30pm-7pm,May 11 - October 26,Y,42.63596,-76.17862,"South Main St and Central Park Pl
(42.63596, -76.17862)"
Cortland,Virgil Farmers' Market,"Municipal Lawn,Town of Virgil",1208 Church Street,Virgil,NY,13045,Sandy Price,6078356711,,Sat  9am-1pm    Wed  4:30pm-7pm,June 1 - October 12,Y,42.50891,-76.19595,"1208 Church Street
(42.50891, -76.19595)"
Delaware,Delhi Farmers' Market,"Courthouse Square,Main St.",Main St and Court St,Delphi,NY,13753,Jerry Pellegrino,6077463775,,Wednesday  9am-2pm,June 5 - October 2,Y,42.27745,-74.91674,"Main St and Court St
(42.27745, -74.91674)"
Delaware,Deposit Farmers' Market,"First United Methodist ChurchWIC Clinic, 107 Second St.",107 Second St,Deposit,NY,13754,Jeanne Darling,6078656531,http://www.ccedelaware.org,Thu 8/15 - 10am - 2pmThu 9/19 - 10am - 2pm,Aug 15 & Sep 19,Y,42.06233,-75.4249,"107 Second St
(42.06233, -75.4249)"
